תאריך פרסום,שם התכשיר,שם תכשיר באנגלית,שם החברה,סיבת העצירה,תאריך העצירה,צפי לחידוש שיווק,קבלת הודעה
,"קווטיאפין טבע 25 מ""ג",QUETIAPINE TEVA 25 MG,"אוניפארם סחר בע""מ",סיבות תפעוליות,01/08/2024,15/09/2024,
,פריקאט,Pericate,"רקח תעשייה פרמצבטית בע""מ",סיבות תפעוליות,01/09/2024,30/11/2024,
,אצטוסל 300,Acetosal 300,ASTRAZENECA (ISRAEL) LTD,סיבות מסחריות,16/07/2024,07/11/2024,
,קרטיה,Cartia,Intervet Israel LTD,סיבות תפעוליות,05/08/2024,21/08/2024,
,"זופרבו 40 מ""ג/מ""ל וטרינרי",ZUPREVO 40 MG/ML VETERINARY,ASTRAZENECA (ISRAEL) LTD,סיבות מסחריות,05/08/2024,לצמיתות,
,קרטיה,Cartia,Intervet Israel LTD,סיבות תפעוליות,05/08/2024,21/08/2024,
,"זופרבו 40 מ""ג/מ""ל וטרינרי",ZUPREVO 40 MG/ML VETERINARY,"דקסל בע""מ",סיבות מסחריות,05/08/2024,לצמיתות,
,"טרמדקס טבליות 100 מ""ג",TRAMADEX 100MG,רפא,סיבות תפעוליות,04/08/2024,22/08/2024,
,"דולוקס טבע 60 מ""ג",DULOX TEVA 60 MG,רפא,סיבות תפעוליות,31/05/2024,התכשיר חזר למלאי,
,אורסופאלק 500,Ursofalk 500,"אינובמד בע""מ",סיבות תפעוליות,10/08/2024,01/11/2024,
,מודאל פורטה טבליות,Modal Forte Tablets,דקסל בעמ,סיבות תפעוליות,18/06/2024,30/09/2024,
,"גאבאפנטין אינובמד 300מ""ג",GABAPENTIN INOVAMED 300 mg,"טבע ישראל בע""מ",סיבות תפעוליות,01/10/2024,לצמיתות,
,"טרמדקס טבליות 100 מ""ג",TRAMADEX 100MG,רז רוקחות,סיבות תפעוליות,04/08/2024,22/08/2024,
,"קונסרטה 54 מ""ג",CONCERTA 54 mg,TAKEDA ISRAEL LTD,סיבות תפעוליות,07/08/2024,08/09/2024,
,"אלונבריג 90 מ""ג",ALUNBRIG 90 MG,רז רוקחות,סיבות תפעוליות,15/09/2024,15/12/2024,
,"אפדרין הידרוכלוריד סטרופ 50 מ""ג/ 1 מ""ל",EPHEDRINE HCL STEROP 50 MG/1 ML,ביואבניר,סיבות תפעוליות,31/07/2023,31/08/2024,
,פנטאדול 12,Fentadol 12,"טבע ישראל בע""מ",סיבות תפעוליות,30.7.2024,התכשיר חזר למלאי,
,פנטאדול 25,Fentadol 25,ביואבניר,סיבות תפעוליות,30.7.2024,התכשיר חזר למלאי,
,טבעקוטן,TEVACUTAN,Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,1.8.2024,31.8.2024,
,"סיטמט-אבניר 50 מ""ג/1000 מ""ג",Sitamet-Avenir 50 mg/1000 mg,"טבע ישראל בע""מ",סיבות תפעוליות,31.7.2024,1.11.2024,
,לתרו,Lataro,רפא,סיבות תפעוליות,30.7.2024,30.8.2024,
,כלורמפניקול וואב 1 גר',Chloramphenicol VUAB 1 G,PADAGIS ISRAEL AGENCIES LTD,סיבות מסחריות,1.8.2024,לא ידוע,
,לתרו,Lataro,"דוד מרגלית ושות' בע""מ",סיבות תפעוליות,30.7.2024,30.8.2024,
,"טמו 100 מ""ג",TEMO 100 MG,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,20.6.2024,29.08.2024,
,כלורמפניקול וואב 1 גר',Chloramphenicol VUAB 1 G,"תרו אינטרנשיונל בע""מ",סיבות מסחריות,1.8.2024,לא ידוע,
,טרסנטאן 62.5,Trasentan 62.5,PADAGIS ISRAEL AGENCIES LTD,סיבות מסחריות,31.7.2024,לצמיתות,
,כלורמפניקול וואב 1 גר',Chloramphenicol VUAB 1 G,רפא,סיבות מסחריות,1.8.2024,לא ידוע,
,טרוסופט,Trusopt,ביואבניר,סיבות מסחריות,1.9.2024,לצמיתות,
,פקליטקסל 300 טבע,300 PACLITAXEL TEVA,PADAGIS ISRAEL PHARMACEUTICALS LTD.,סיבות תפעוליות,1.6.2024,15.8.2024,
,פקליטקסל 100 טבע,100 PACLITAXEL TEVA,"טבע ישראל בע""מ",סיבות תפעוליות,1.6.2024,31.7.2024,
,מנטקס קרם,MENTAX CREAM,"טבע ישראל בע""מ",סיבות תפעוליות,18.8.2024,22.9.2024,
,פקליטקסל 300 טבע,300 PACLITAXEL TEVA,"רקח תעשייה פרמצבטית בע""מ",סיבות תפעוליות,1.6.2024,15.8.2024,
,אונדציל אבקה,Undecyl Powder,"רקח תעשייה פרמצבטית בע""מ",סיבות תפעוליות,26.7.2024,25.9.2024,
,"נורטילין 25 מ""ג",Nortylin 25 mg,"רקח תעשייה פרמצבטית בע""מ",סיבות תפעוליות,26.7.2024,25.10.2024,
,"אקטיק 1200 מק""ג",ACTIQ 1200 MCG,"טבע ישראל בע""מ",סיבות תפעוליות,31.7.2024,30.11.2024,
,"אקטיק 1200 מק""ג",ACTIQ 1200 MCG,"טבע ישראל בע""מ",סיבות תפעוליות,31.7.2024,30.11.2024,
,דיאמילה,DIAMILLA,Medison Pharma LTD,סיבות תפעוליות,1.8.2024,31.8.2024,
,"לוובון 100 מ""ג/מ""ל",Levebon 100 mg/ml,"טבע ישראל בע""מ",סיבות תפעוליות,25.7.2024,30.9.2024,
,"אקטיק 1600 מק""ג",ACTIQ 1600 MCG,"טבע ישראל בע""מ",סיבות תפעוליות,1.7.2024,15.11.2024,
,"אקטיק 1600 מק""ג",ACTIQ 1600 MCG,"טבע ישראל בע""מ",סיבות תפעוליות,1.7.2024,15.11.2024,
,"אקטיק 1200 מק""ג",ACTIQ 1200 MCG,"טבע ישראל בע""מ",סיבות תפעוליות,31.7.2024,30.11.2024,
,בטרפן לק לציפורניים,Batrafen Nail Lacquer,"טבע ישראל בע""מ",סיבות תפעוליות,22.7.2024,15.4.2025,
,בטרפן לק לציפורניים,Batrafen Nail Lacquer,"נוברטיס ישראל בע""מ",סיבות תפעוליות,22.7.2024,15.4.2025,
,דרמקומבין משחה,Dermacombin Ointment,30.6.2024,סיבות תפעוליות,15.2.2024,עד להודעה חדשה,
,ערמוניה,Armonia,"אוניפארם סחר בע""מ",סיבות תפעוליות,1.8.2024,15.9.2024,
,טרמדקס או.די 200,TRAMADEX 200 OD,"דקסל פארמה טכנולוגיות בע""מ",סיבות תפעוליות,15.12.2023,30.9.2024,
,ערמוניה פלוס,Armonia plus,7.7.2024,סיבות תפעוליות,23.7.2024,15.8.2024,
,אורוקורט E,Oracort E,7.7.2024,סיבות תפעוליות,7.8.2024,30.9.2024,
,דקס-אוטיק טבע,DEX-OTIC TEVA,"אוניפארם סחר בע""מ",סיבות תפעוליות,31.7.2024,15.8.2024,
,ערמוניה,Armonia,"נוברטיס ישראל בע""מ",סיבות תפעוליות,1.8.2024,15.9.2024,
,ערמוניה פלוס,Armonia plus,30.6.2024,סיבות תפעוליות,23.7.2024,15.8.2024,
,אטופוסיד טבע,ETOPOSIDE TEVA,7.7.2024,סיבות תפעוליות,31.8.2024,,
,אטופוסיד טבע,ETOPOSIDE TEVA,"דקסל בע""מ",סיבות תפעוליות,31.8.2024,,
,אסריל 50,ACERIL 50,"טק או פארם ליברה בע""מ",סיבות מסחריות,1.1.2025,לצמיתות,
,אסריל 50,ACERIL 50,"קונצפט לרוקחות בע""מ",סיבות מסחריות,1.1.2025,לצמיתות,
,ורדיי,VERDYE,"טבע ישראל בע""מ",סיבות תפעוליות,25.7.2024,25.9.2024,
,"קונסרטה 18 מ""ג",CONCERTA 18mg,Bioavenir LTD,סיבות תפעוליות,21.7.2024,28.11.2024,
,"קרבופלטין טבע 150מ""ג/15מ""ל",CARBOPLATIN 150MG/15ML,J-C HEALTH CARE LTD,סיבות תפעוליות,21.7.2024,15.10.2024,
,"קונסרטה 18 מ""ג",CONCERTA 18mg,Bioavenir LTD,סיבות תפעוליות,21.7.2024,28.11.2024,
,"קונסרטה 18 מ""ג",CONCERTA 18mg,"טבע ישראל בע""מ",סיבות תפעוליות,21.7.2024,28.11.2024,
,"קרבופלטין טבע 450מ""ג/45 מ""ל",CARBOPLATIN 450MG/45ML,Trima,סיבות תפעוליות,15.4.2024,התכשיר חזר למלאי,
,"נובוסבן אר.טי 1 מ""ג/בקבוקון",NOVOSEVEN® RT 1MG/VIAL,"טבע ישראל בע""מ",סיבות תפעוליות,10.7.2024,30.9.2024,
,"נובוסבן אר.טי 1 מ""ג/בקבוקון",NOVOSEVEN® RT 1MG/VIAL,פייזר פרמצבטיקה,סיבות תפעוליות,10.7.2024,30.9.2024,
,קסלאקום טיפות עיניים,Xalacom Eye Drops,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,18.7.2024,לא ידוע,
,"אנג'נלה 60 מ""ג",NGENLA 60 mg,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,1.8.2024,15.8.2024,
,קסלאקום טיפות עיניים,Xalacom Eye Drops,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,18.7.2024,לא ידוע,
,קסלאקום טיפות עיניים,Xalacom Eye Drops,"""נובו נורדיסק בע""""מ""",סיבות תפעוליות,18.7.2024,לא ידוע,
,"נובוסבן אר.טי 1 מ""ג/בקבוקון",NOVOSEVEN® RT 1MG/VIAL,פייזר PFE,סיבות תפעוליות,10.7.2024,30.9.2024,
,מופירוצין טבע,MUPIROCIN,CURE MEDICAL & TECHNICAL SUPPLY,סיבות תפעוליות,18.7.2024,התכשיר חזר למלאי,
,פורדיל כמוסות לשאיפה,FORADIL CAPSULES FOR INHALATION,"טבע ישראל בע""מ",סיבות תפעוליות,16.7.2024,31.8.2024,
,"מתוטרקסאט ""אבווה"" 2.5 מ""ג טבליות","METHOTREXAT ""EBEWE"" 2.5 MG TABLETS",CURE MEDICAL & TECHNICAL SUPPLY,סיבות תפעוליות,16.7.2024,10.8.2024,
,"מתוטרקסאט ""אבווה"" 2.5 מ""ג טבליות","METHOTREXAT ""EBEWE"" 2.5 MG TABLETS",Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,16.7.2024,10.8.2024,
,"מתוטרקסאט ""אבווה"" 2.5 מ""ג טבליות","METHOTREXAT ""EBEWE"" 2.5 MG TABLETS",Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,16.7.2024,10.8.2024,
,"קרמוסטין נבינטה 100 מ""ג",CARMUSTINE NAVINTA 100 MG,"רקח תעשייה פרמצבטית בע""מ",סיבות מסחריות,1.8.2024,לצמיתות,
,"רנוולה 800 מ""ג טבליות",RENVELA 800 MG TABLETS,"רקח תעשייה פרמצבטית בע""מ",סיבות תפעוליות,1.12.2024,1.3.2025,
,"רנוולה 800 מ""ג טבליות",RENVELA 800 MG TABLETS,Trima,סיבות תפעוליות,1.12.2024,1.3.2025,
,דיאתרים,Diatrim,"טבע ישראל בע""מ",סיבות תפעוליות,21.2.2024,31.8.2024,
,"IM גאודון 20 מ""ג",Geodon IM 20 mg,Trima,סיבות תפעוליות,1.8..2024,לא ידוע,
,דיאתרים,Diatrim,פייזר פ.אף.אי,סיבות תפעוליות,21.2.2024,31.8.2024,
,ציקלודרם תמיסה,Cicloderm Solution,פייזר פ.אף.אי,סיבות תפעוליות,15.12.2023,31.8.2024,
,"אבירטרון -תרימה 250 מ""ג",Abiraterone - Trima 250 mg,J-C HEALTH CARE LTD,סיבות תפעוליות,15.7.2024,28.2.2025,
,דקטרין אורל ג'ל,DAKTARIN ORAL GEL,"טבע ישראל בע""מ",סיבות תפעוליות,15.8.2023,31.12.2024,
,קרבופלטין טבע,CARBOPLATIN TEVA,Tzamal bio-pharma Ltd.,סיבות תפעוליות,15.4.2024,15.9.2024,
,"סרוקואל אקס.אר 50מ""ג",SEROQUEL XR 50 MG,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,9.7.2024,22.7.2024,
,"סרוקואל אקס.אר 300מ""ג",SEROQUEL XR 300 MG,Tzamal bio-pharma Ltd.,סיבות תפעוליות,9.7.2024,22.7.2024,
,קואט DVI 1000,KOATE DVI 1000,Tzamal bio-pharma Ltd.,סיבות תפעוליות,4.4.2024,30.09.2024,
,קואט DVI 1000,KOATE DVI 1000,Tzamal bio-pharma Ltd.,סיבות תפעוליות,4.4.2024,30.09.2024,
,"סרוקואל אקס.אר 400מ""ג",SEROQUEL XR 400 MG,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,9.7.2024,5.8.2024,
,"סרוקואל אקס.אר 400מ""ג",SEROQUEL XR 400 MG,Intervet Israel LTD,סיבות תפעוליות,9.7.2024,5.8.2024,
,טראוסולפן רז 5 גרם,TREOSULFAN RAZ 5 G,Intervet Israel LTD,סיבות תפעוליות,1.10.2023,01.10.2024,
,טראוסולפן רז 5 גרם,TREOSULFAN RAZ 5 G,ROMAT LTD,סיבות תפעוליות,1.10.2023,01.10.2024,
,"לנפלוקס 100 מ""ג/מ""ל וטרינרי",Lanflox 100 mg/ml Veterinary,ROMAT LTD,סיבות מסחריות,30.6.2024,עד להודעה חדשה,
,אריסטוס 10 וטרינרי,Aristos 10 Veterinary,רפא,סיבות מסחריות,30.6.2024,עד להודעה חדשה,
,אריסטוס 2 וטרינרי,Aristos 2 Veterinary,פייזר PFE,סיבות מסחריות,30.6.2024,עד להודעה חדשה,
,פן-רפא וי-ק 500,Pen-Rafa VK 500,ROMAT LTD,סיבות תפעוליות,1.2.2024,1.9.2024,
,אריסטוס 2 וטרינרי,Aristos 2 Veterinary,פייזר PFE,סיבות מסחריות,30.6.2024,עד להודעה חדשה,
,טרנדייט זריקות,TRANDATE INJECTION,"נוברטיס ישראל בע""מ",סיבות מסחריות,1.2.2022,לצמיתות,
,אמבוטייפ וטרינרי,Embotape veterinary,"נוברטיס ישראל בע""מ",סיבות תפעוליות,4.7.2024,30.11.2024,
,אמבוטייפ וטרינרי,Embotape veterinary,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,4.7.2024,30.11.2024,
,"קונסרטה 27 מ""ג",CONCERTA 27mg,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,1.8.2024,28.11.2024,
,תרוקלינדין ג'ל,TaroClindin Gel,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,20.2.2024,התכשיר חזר למלאי,
,תרוקלינדין ג'ל,TaroClindin Gel,"אלי לילי ישראל בע""מ",סיבות תפעוליות,20.2.2024,התכשיר חזר למלאי,
,"קונסרטה 27 מ""ג",CONCERTA 27mg,"אלי לילי ישראל בע""מ",סיבות תפעוליות,1.8.2024,28.11.2024,
,"טרוליסיטי 0.75 מ""ג",TRULICITY 0.75 MG,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,1.8.2024,15.10.2024,
,דרמקומבין משחה,Dermacombin Ointment,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,15.2.2024,15.10.2024,
,דרמקומבין משחה,Dermacombin Ointment,K.S. KIM INTERNATIONAL (SK- PHARMA) LTD.,סיבות תפעוליות,15.2.2024,15.10.2024,
,"לנלידומיד אס.קיי. 7.5 מ""ג",LENALIDOMIDE S.K. 7.5 MG,K.S. KIM INTERNATIONAL (SK- PHARMA) LTD.,סיבות מסחריות,30.6.2024,לצמיתות,
,"לנלידומיד אס.קיי. 7.5 מ""ג",LENALIDOMIDE S.K. 7.5 MG,K.S. KIM INTERNATIONAL (SK- PHARMA) LTD.,סיבות מסחריות,30.6.2024,לצמיתות,
,"אפדרין הידרוכלוריד סטרופ 50 מ""ג/ 1 מ""ל",EPHEDRINE HCL STEROP 50 MG/1 ML,PADAGIS ISRAEL APHARMACEUTICALS LTD,סיבות תפעוליות,31.7.2023,31.7.2024,
,קסינתה 500,XYNTHA 500 IU,איי.אל.מדי-מרקט,סיבות תפעוליות,1.7.2024,התכשיר חזר למלאי,
,אקסיפן,Exipan,"דקסל בע""מ",סיבות תפעוליות,1.7.2024,31.7.2024,
,פרולול 40,PROLOL 40,פארמלוג'יק,סיבות תפעוליות,1.3.2024,התכשיר חזר למלאי,
,קפטריאקסון פאנפרמה 1 גרם,CEFTRIAXONE PANPHARMA 1 G,PADAGIS ISRAEL APHARMACEUTICALS LTD,סיבות תפעוליות,1.7.2024,1.7.2025,
,קפזולין פאנפרמה 1 גרם,CEFAZOLIN PANPHARMA 1 G,"פייזר פרמצבטיקה בע""מ",סיבות תפעוליות,1.7.2024,1.7.2025,
,קפטריאקסון פאנפרמה 1 גרם,CEFTRIAXONE PANPHARMA 1 G,"אלי לילי ישראל בע""מ",סיבות תפעוליות,1.7.2024,1.7.2025,
,"ורזניו 100 מ""ג",Verzenio 100 mg,"תרו אינטרנשיונל בע""מ",סיבות תפעוליות,12.6.2024,30.7.2024,
,"קפסיטבין תרו 500 מ""ג",Capecitabine Taro 500 mg,איי.אל.מדי-מרקט,סיבות תפעוליות,1.7.2024,15.8.2024,
,"דולוקס טבע 60 מ""ג",DULOX TEVA 60 MG,"תרו תעשייה רוקחית בע""מ",סיבות מסחריות,31.5.2024,31.7.2024,
,אדטאר,Adatar,"טבע ישראל בע""מ",סיבות תפעוליות,8.2.2024,15.8.2024,
,"רוזובסטטין-מדו 20 מ""ג",ROSUVASTATIN - MEDO 20 MG,איי.אל.מדי-מרקט,סיבות תפעוליות,25.6.2024,10.8.2024,
,"ואלסרטן-מדו 80 מ""ג",VALSARTAN -MEDO 80 MG,"טבע ישראל בע""מ",סיבות תפעוליות,25.6.2024,לא ידוע,
,אדטאר,Adatar,איי.אל.מדי-מרקט,סיבות תפעוליות,8.2.2024,15.8.2024,
,אדטאר,Adatar,איי.אל.מדי-מרקט,סיבות תפעוליות,8.2.2024,15.8.2024,
,"דולוקס טבע 60 מ""ג",DULOX TEVA 60 MG,"טבע ישראל בע""מ",סיבות מסחריות,31.5.2024,31.7.2024,
,אטופוסיד טבע,ETOPOSIDE TEVA,"פייזר פרמצבטיקה ישראל בע""מ",סיבות תפעוליות,24.6.2024,31.7.2024,
,"אייברנס טבליות 75 מ""ג",Ibrance capsules 75 mg,"טבע ישראל בע""מ",סיבות מסחריות,1.11.2024,לצמיתות,
,פקליטקסל טבע 300,PACLITAXEL TEVA 300mg,"טבע ישראל בע""מ",סיבות תפעוליות,1.6.2024,31.7.2024,
,פקליטקסל טבע 300,PACLITAXEL TEVA 300mg,"טבע ישראל בע""מ",סיבות תפעוליות,1.6.2024,31.7.2024,
,"ברוטיזולאם טבע 0.25 מ""ג",BROTIZOLAM TEVA 0.25 MG,"אינובמד בע""מ",סיבות תפעוליות,1.8.2024,15.9.2024,
,"ברוטיזולאם טבע 0.25 מ""ג",BROTIZOLAM TEVA 0.25 MG,"אינובמד בע""מ",סיבות תפעוליות,1.8.2024,15.9.2024,
,"קווטיאפין אינובמד אס.אר 50 מ""ג",Quetiapine Inovamed SR 50mg,"אינובמד בע""מ",סיבות תפעוליות,1.6.2024,31.8.2024,
,"קווטיאפין אינובמד אס.אר 150 מ""ג",Quetiapine Inovamed SR 150mg,"אינובמד בע""מ",סיבות תפעוליות,1.6.2024,31.8.2024,
,"קווטיאפין אינובמד אס.אר 400 מ""ג",Quetiapine Inovamed SR 400mg,"טבע ישראל בע""מ",סיבות תפעוליות,1.6.2024,31.8.2024,
,רקטוצורין משחה,RECTOZORIN OINTMENT,Medison Pharma LTD,סיבות תפעוליות,19.6.2024,31.8.2024,
,וניקה,VANIQA,פייזר PFE,סיבות תפעוליות,31/12/2024,לצמיתות,
,מודאל פורטה טבליות,Modal Forte Tablets,Medison Pharma LTD,סיבות מסחריות,18.6.2024,15.8.2024,
,וניקה,VANIQA,Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,31/12/2024,לצמיתות,
,"אבסטרל 800 מק""ג",ABSTRAL 800 MCG,Sandoz Pharmaceuticals Israel Ltd.,סיבות תפעוליות,17.6.2024,"התכשיר הפך לגנרי, ומיובא רק בהתאם להזמנות ולכן לא מחוייבים להחזיק מלאי ברזל.",
,"אבסטרל 800 מק""ג",ABSTRAL 800 MCG,PADAGIS ISRAEL AGENCIES LTD,סיבות תפעוליות,17.6.2024,"התכשיר הפך לגנרי, ומיובא רק בהתאם להזמנות ולכן לא מחוייבים להחזיק מלאי ברזל.",
,"רמסימה 100 מ""ג תוך-ורידי",REMSIMA 100 MG I.V.,CURE MEDICAL & TECHNICAL SUPPLY,סיבות תפעוליות,17.6.2024,התכשיר חזר למלאי,
,פרופופול 1% פרזניוס,PROPOFOL 1% FRESENIUS,"תרימה, תוצרי רפואה ישראליים מעברות בע""מ",סיבות מסחריות,30.6.2022,לצמיתות,
,דיאתרים,Diatrim,"דקסל בע""מ",סיבות תפעוליות,21.2.2024,31.7.2024,
,דיאתרים,Diatrim,"נובו נורדיסק בע""מ",סיבות תפעוליות,21.2.2024,31.7.2024,
,"זינט טבליות 250 מ""ג",ZINNAT TABLETS 250 MG,"נובו נורדיסק בע""מ",סיבות תפעוליות,13.6.2024,התכשיר חזר למלאי,
,"נובוסבן 1 מ""ג",NovoSeven 1 mg,"טבע ישראל בע""מ",סיבות תפעוליות,10.7.2024,24.7.2024,
,"נובוסבן 1 מ""ג",NovoSeven 1 mg,מגאפארם,סיבות תפעוליות,10.7.2024,24.7.2024,
,"אלפוזוסין ER טבע 10 מ""ג",ALFUZOSIN ER TEVA 10 MG,Sandoz Pharmaceuticals Israel Ltd,סיבות תפעוליות,13.6.2024,התכשיר חזר למלאי,
,"אלפוזוסין ER טבע 10 מ""ג",ALFUZOSIN ER TEVA 10 MG,"תרו תעשייה רוקחית בע""מ",סיבות תפעוליות,13.6.2024,התכשיר חזר למלאי,
,טימוניל 300 ריטרד,Timonil 300 Retard,"נובו נורדיסק בע""מ",סיבות תפעוליות,16.11.2023,התכשיר חזר למלאי,
,טימוניל 300 ריטרד,Timonil 300 Retard,Sandoz Pharmaceuticals Israel Ltd,סיבות תפעוליות,16.11.2023,התכשיר חזר למלאי,
,טימוניל 300 ריטרד,Timonil 300 Retard,פייזר פרמצבטיקה,סיבות תפעוליות,16.11.2023,התכשיר חזר למלאי,
,"ריבסטיגמין דקסל 1.5 מ""ג",RIVASTIGMINE DEXCEL 1.5 MG,"דקסל בע""מ",סיבות תפעוליות,17.3.2024,התכשיר חזר למלאי,
,"ריבסטיגמין דקסל 4.5 מ""ג",RIVASTIGMINE DEXCEL 4.5 MG,"דקסל בע""מ",סיבות תפעוליות,27.5.2024,התכשיר חזר למלאי,
,דילאטם 120 SR,דילאטם 120 SR,רפא,סיבות תפעוליות,1.7.2024,31.8.2024,
,"ריבסטיגמין דקסל 4.5 מ""ג",RIVASTIGMINE DEXCEL 4.5 MG,J-C HEALTH CARE LTD,סיבות תפעוליות,27.5.2024,התכשיר חזר למלאי,
,טימוניל 300 ריטרד,Timonil 300 Retard,"טבע ישראל בע""מ",סיבות תפעוליות,16.11.2023,31.8.2024,
,"גנוטרופין 5.3 מ""ג",Genotropin 5.3 mg,זואטיס ישראל הולדינג בי.וי.,סיבות תפעוליות,1.7.2024,1.9.2024,
,"בלוורסה 5 מ""ג",Balversa 5mg,פייזר פרמצבטיקה,סיבות תפעוליות,9.6.2024,התכשיר חזר למלאי,
,פלוקנול 50,Flucanol 50,מגאפארם,סיבות תפעוליות,15.6.2024,1.8.2024,
,"ריבסטיגמין דקסל 4.5 מ""ג",RIVASTIGMINE DEXCEL 4.5 MG,מגאפארם,סיבות תפעוליות,27.5.2024,התכשיר חזר למלאי,
